player_name,league,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Joel Embiid,NBA,PHI,29,213.36,127.00576,Kansas,Cameroon,2014,1,3,66,33.1,10.2,4.2,8.8,0.057,0.243,0.37,0.655,0.233,2022-23
Luka Doncic,NBA,DAL,24,200.66,104.32616,None,Slovenia,2018,1,3,66,32.4,8.6,8,2.1,0.024,0.224,0.368,0.609,0.408,2022-23
Giannis Antetokounmpo,NBA,MIL,28,213.36,110.222856,None,Greece,2013,1,15,63,31.1,11.8,5.7,7.2,0.065,0.268,0.373,0.605,0.314,2022-23
Nikola Jokic,NBA,DEN,28,210.82,128.820128,None,Serbia,2014,2,41,69,24.5,11.8,9.8,12.5,0.08,0.283,0.263,0.701,0.412,2022-23
LeBron James,NBA,LAL,38,205.74,113.398,None,USA,2003,1,1,55,28.9,8.3,6.8,4.6,0.033,0.191,0.322,0.583,0.308,2022-23
Jayson Tatum,NBA,BOS,25,203.2,95.25432,Duke,USA,2017,1,3,74,30.1,8.8,4.6,8.5,0.029,0.2,0.319,0.607,0.205,2022-23
Anthony Davis,NBA,LAL,30,208.28,114.758776,Kentucky,USA,2012,1,1,56,25.9,12.5,2.6,4.8,0.102,0.248,0.277,0.627,0.128,2022-23
Damian Lillard,NBA,POR,32,187.96,88.45044,Weber State,USA,2012,1,6,58,32.2,4.8,7.3,2.1,0.022,0.112,0.331,0.645,0.338,2022-23
Shai Gilgeous-Alexander,NBA,OKC,24,198.12,88.45044,Kentucky,Canada,2018,1,11,68,31.4,4.8,5.5,2.7,0.023,0.109,0.318,0.626,0.249,2022-23
Kevin Durant,NBA,PHX,34,208.28,108.86208,Texas,USA,2007,1,2,47,29.1,6.7,5,6.8,0.012,0.166,0.305,0.677,0.228,2022-23
Zion Williamson,NBA,NOP,22,198.12,128.820128,Duke,USA,2019,1,1,29,26,7,4.6,7.8,0.06,0.148,0.288,0.652,0.231,2022-23
Julius Randle,NBA,NYK,28,203.2,113.398,Kentucky,USA,2014,1,7,77,25.1,10,4.1,2.7,0.05,0.226,0.288,0.581,0.184,2022-23
Domantas Sabonis,NBA,SAC,27,215.9,108.86208,Gonzaga,Lithuania,2016,1,11,79,19.1,12.3,7.3,3.9,0.096,0.275,0.213,0.668,0.297,2022-23
Stephen Curry,NBA,GSW,35,187.96,83.91452,Davidson,USA,2009,1,7,56,29.4,6.1,6.3,5.8,0.02,0.147,0.297,0.656,0.274,2022-23
Devin Booker,NBA,PHX,26,195.58,93.439952,Kentucky,USA,2015,1,13,53,27.8,4.5,5.5,6.2,0.025,0.105,0.311,0.601,0.251,2022-23
